,element,pos_prob,pri_prob
0,"(2, 9, 7, 3)",1.51035838655e-111,5.05489320953e-111
1,"(1, 6, 9, 7)",3.86613431707e-112,1.53793332062e-111
2,"(5, 1, 9, 3)",2.83358156318e-112,3.75729272473e-112
3,"(2, 1, 9, 3)",3.93185210489e-110,1.26275052564e-110
4,"(2, 1, 9, 7)",1.83032612233e-110,5.87826096049e-111
5,"(5, 6, 8, 2)",7.93189941604e-110,8.84887208532e-110
6,"(5, 1, 9, 2)",2.6508618032e-110,2.8378289638e-111
7,"(1, 9, 8, 7)",1.6632610587e-112,1.71424607086e-111
8,"(1, 9, 7, 2)",6.10108707442e-111,5.87826096049e-111
9,"(2, 6, 9, 7)",8.95367024287e-111,9.98876542902e-111
10,"(1, 6, 7, 3)",9.27235105653e-112,1.28127032781e-110
11,"(2, 1, 7, 3)",4.38976635634e-110,4.89724830513e-110
12,"(1, 9, 7, 3)",6.52162546859e-113,7.78283237739e-112
13,"(1, 9, 8, 2)",3.34256979649e-110,2.78133335281e-110
14,"(5, 1, 7, 3)",3.1635882231e-112,1.45716790882e-111
